4,BranchCut,BranchCut-MIPstart,BranchCut-NoFract,BranchCut-NoFract-MIPstart
pr439.tsp,149.94,159.02,484.84,414.13
pcb442.tsp,18.11,19.16,24.68,26.91
gil262.tsp,21.36,20.83,17.46,22.54
fl417.tsp,426.22,440.45,330.80,303.63
tsp225.tsp,11.37,11.98,8.88,8.81
linhp318.tsp,23.85,23.01,30.00,27.95
pr299.tsp,60.08,57.11,53.17,56.48
rat575.tsp,564.20,543.47,264.33,305.78
a280.tsp,5.95,5.81,6.44,5.77
pr264.tsp,10.99,10.78,23.65,21.06
d493.tsp,258.04,251.39,118.49,136.16
lin318.tsp,23.57,25.14,30.96,27.21
