2,CPLEX_BENDERS,CPLEX_BENDERS_PAT
pr439.tsp,95412.883057,123738.603058 // problem
kroA150.tsp,26539.451336,26524.863064
d198.tsp,13282.641151,179786.047085
ch130.tsp,6110.722172,6110.722172
kroB100.tsp,22139.074553,22139.074553
berlin52.tsp,7544.365919,7544.365919
eil51.tsp,428.871757,428.871757
kroD100.tsp,21294.290777,21294.290777
pr299.tsp,48572.366513,49359.866872
ch150.tsp,6530.902701,6530.902701
pr107.tsp,44301.683777,44301.683777
kroB200.tsp,29429.980060,29440.412189
a280.tsp,2586.769644,2586.769644
pr264.tsp,41403.975067,56992.613922
pr76.tsp,108159.438293,108159.438293
d493.tsp,418185.450781,427791.108244
pr136.tsp,96770.924805,96770.924805
kroA100.tsp,21285.443085,21285.443085
kroB150.tsp,26088.443487,26340.497732
bier127.tsp,118293.524323,118293.524323
kroC100.tsp,20750.762535,20750.762535
eil76.tsp,544.369055,544.369055
pr124.tsp,59030.735779,59030.735779
eil101.tsp,640.211591,640.211591
kroA200.tsp,29265.870497,30737.983000
pr152.tsp,73683.640747,73683.640747
pr226.tsp,70722.204865,98264.682373 // problem 
pr144.tsp,58470.511230,58535.221497
kroE100.tsp,22068.758774,22068.758774
