3,NN,allNN,NN-2opt
0,415100.00,406038.00,343459.00
1,399055.00,388713.00,336684.00
2,418197.00,390205.00,339833.00
3,405185.00,389304.00,342428.00
4,418674.00,395263.00,341317.00
5,405948.00,393241.00,339470.00
6,404114.00,384501.00,336779.00
7,407487.00,394560.00,341431.00
8,410827.00,391261.00,337790.00
9,407231.00,387438.00,334735.00
10,404432.00,391958.00,339996.00
11,407167.00,391239.00,337525.00
12,412960.00,394896.00,339312.00
13,408388.00,395660.00,340368.00
14,412102.00,403235.00,340891.00
15,406509.00,388464.00,336660.00
16,411116.00,392057.00,335868.00
17,401266.00,386536.00,336979.00
18,408250.00,397300.00,340047.00
19,409549.00,398087.00,341061.00
