6,NN,allNN,NN-2opt,TabuFixed,VNS,ExtraMileage
rl1304.tsp,335779.00,306195.00,266068.00,265948.00,261789.00,307898.00
pr1002.tsp,331103.00,313745.00,269731.00,269220.00,267674.00,302240.00
vm1748.tsp,408102.00,404413.00,351696.00,351069.00,350472.00,403144.00
rl1323.tsp,332103.00,312845.00,280093.00,279990.00,277394.00,329371.00
u1060.tsp,308980.00,277095.00,236557.00,236202.00,232071.00,267431.00
rl1889.tsp,389270.00,374845.00,330897.00,330593.00,332973.00,386958.00
vm1084.tsp,301477.00,290806.00,249557.00,249518.00,248764.00,274081.00
u1817.tsp,72030.00,66187.00,60117.00,59972.00,59329.00,66988.00
nrw1379.tsp,68964.00,68531.00,59372.00,59299.00,59562.00,65291.00
pcb1173.tsp,71978.00,70115.00,60186.00,60137.00,59595.00,69984.00
fl1577.tsp,27996.00,25534.00,22860.00,22745.00,22696.00,26944.00
fl1400.tsp,27447.00,25115.00,20500.00,20543.00,20451.00,22532.00
d1291.tsp,60214.00,58681.00,52306.00,52423.00,52599.00,59918.00
d1655.tsp,74034.00,73371.00,65087.00,64982.00,64512.00,73473.00
