5,TabuFixed,TabuLinear,TabuRandom,TabuSize,TabuSinusoidal
rl1304.tsp,265948.00,266068.00,266005.00,266006.00,266006.00
pr1002.tsp,269220.00,269925.00,269659.00,269918.00,269918.00
vm1748.tsp,351069.00,351696.00,351135.00,351696.00,351696.00
rl1323.tsp,279990.00,280093.00,279990.00,279979.00,279979.00
u1060.tsp,236202.00,236557.00,236469.00,236481.00,236481.00
rl1889.tsp,330593.00,330972.00,329914.00,330972.00,330972.00
vm1084.tsp,249518.00,249557.00,249246.00,249557.00,249557.00
u1817.tsp,59972.00,60117.00,59975.00,60117.00,60117.00
nrw1379.tsp,59299.00,59356.00,59356.00,59356.00,59356.00
pcb1173.tsp,60137.00,60214.00,60214.00,60214.00,60214.00
fl1577.tsp,22745.00,22848.00,22752.00,22823.00,22823.00
fl1400.tsp,20543.00,20551.00,20551.00,20551.00,20551.00
d1291.tsp,52423.00,52500.00,52396.00,52396.00,52396.00
d1655.tsp,64982.00,65089.00,65089.00,65089.00,65089.00
